序号,标题,作者,文章类型,年份,期数,引用格式
467,纪念《统一国语办法案》颁布一百周年,李宇明,应用语言学,2012,第1期,"李宇明.纪念《统一国语办法案》颁布一百周年[J].澳门语言学刊,2012年第1期."
468,民族共同语发展中的两个里程碑——国语运动和汉语规范化运动,王理嘉,应用语言学,2012,第1期,"王理嘉.民族共同语发展中的两个里程碑——国语运动和汉语规范化运动[J].澳门语言学刊,2012年第1期."
469,国语运动：实现中华民族复兴的语言计划——以国语和教育的关系为视角,于锦恩,应用语言学,2012,第1期,"于锦恩.国语运动：实现中华民族复兴的语言计划——以国语和教育的关系为视角[J].澳门语言学刊,2012年第1期."
470,从几个连词的英译看汉英文化的一个差异,汪化云、肖擎柱,应用语言学,2012,第1期,"汪化云、肖擎柱.从几个连词的英译看汉英文化的一个差异[J].澳门语言学刊,2012年第1期."
471,建立宽和灵活且极富人情味的语文规范观——从程祥徽先生与纯洁派在语言规范问题上的态度差异说起,王卫兵,应用语言学,2012,第1期,"王卫兵.建立宽和灵活且极富人情味的语文规范观——从程祥徽先生与纯洁派在语言规范问题上的态度差异说起[J].澳门语言学刊,2012年第1期."
472,评说《“国学”和“新国学”》一文对“当今国学”的关注,邓天玉,应用语言学,2012,第1期,"邓天玉.评说《“国学”和“新国学”》一文对“当今国学”的关注[J].澳门语言学刊,2012年第1期."
473,韩国首都更改中文译名引发的思考——从语言翻译学的角度进行剖析,邓应烈,应用语言学,2012,第2期,"邓应烈.韩国首都更改中文译名引发的思考——从语言翻译学的角度进行剖析[J].澳门语言学刊,2012年第2期."
474,从言说动词看计算机语义知识库建设的瓶颈,赵旭、刘振平,应用语言学,2013,第1期,"赵旭、刘振平.从言说动词看计算机语义知识库建设的瓶颈[J].澳门语言学刊,2013年第1期."
475,两岸语言差异及对语音审定标准的思考——以《两岸常用词典》中有语音差异的词语为例,陈茜,应用语言学,2013,第1期,"陈茜.两岸语言差异及对语音审定标准的思考——以《两岸常用词典》中有语音差异的词语为例[J].澳门语言学刊,2013年第1期."
476,汉字粤读、正写与用词规范刍议（修订本）,龙裕琛,应用语言学,2013,第2期,"龙裕琛.汉字粤读、正写与用词规范刍议（修订本）[J].澳门语言学刊,2013年第2期."
477,时代性与针对性的有机结合——简评一部通行于港澳台地区的现代汉语教材,江蓝生、邵敬敏,应用语言学,2014,第1期,"江蓝生、邵敬敏.时代性与针对性的有机结合——简评一部通行于港澳台地区的现代汉语教材[J].澳门语言学刊,2014年第1期."
478,双母语“土生”所用汉语课本的编写问题,黄翊,应用语言学,2014,第2期,"黄翊.双母语“土生”所用汉语课本的编写问题[J].澳门语言学刊,2014年第2期."
479,语法功能与语法结构的结合——评《新实用汉语课本》总第一册,贺晓玲,应用语言学,2015,第1期,"贺晓玲.语法功能与语法结构的结合——评《新实用汉语课本》总第一册[J].澳门语言学刊,2015年第1期."
480,基于中介语语料库的日本留学生语法偏误研究,祁峰、张季含,应用语言学,2017,第2期,"祁峰、张季含.基于中介语语料库的日本留学生语法偏误研究[J].澳门语言学刊,2017年第2期."
481,“汉语”的性质和定义,郭熙,应用语言学,2018,第1期,"郭熙.“汉语”的性质和定义[J].澳门语言学刊,2018年第1期."
482,一部值得推荐的现代汉语教材,曹德和,应用语言学,2018,第2期,"曹德和.一部值得推荐的现代汉语教材[J].澳门语言学刊,2018年第2期."
483,从《语学举隅》看“把”字祈使句教学,万晓丽、邵则遂,应用语言学,2018,第2期,"万晓丽、邵则遂.从《语学举隅》看“把”字祈使句教学[J].澳门语言学刊,2018年第2期."
484,改革开放以来澳门语言运用的变化与发展,程祥徽、刘景松,应用语言学,2019,第1期,"程祥徽、刘景松.改革开放以来澳门语言运用的变化与发展[J].澳门语言学刊,2019年第1期."
485,澳门粤语字表资料与普通话字表资料对应关系分析,罗言发,应用语言学,2019,第1期,"罗言发.澳门粤语字表资料与普通话字表资料对应关系分析[J].澳门语言学刊,2019年第1期."
486,教育家王云五对祖国的贡献——从其教育实践、辞书编纂、图书分类法研制谈起,刘静静,应用语言学,2019,第2期,"刘静静.教育家王云五对祖国的贡献——从其教育实践、辞书编纂、图书分类法研制谈起[J].澳门语言学刊,2019年第2期."
487,中葡应用文文种的差别与规范,张卓夫,应用语言学,2020,第1期,"张卓夫.中葡应用文文种的差别与规范[J].澳门语言学刊,2020年第1期."
488,汉语二语语音教材分析,王璐,应用语言学,2020,第2期,"王璐.汉语二语语音教材分析[J].澳门语言学刊,2020年第2期."
489,论合格普通话与推普的“度”,司罗红、邢晓梦、樊留洋,应用语言学,2021,第2期,"司罗红、邢晓梦、樊留洋.论合格普通话与推普的“度”[J].澳门语言学刊,2021年第2期."
490,香港中国语文教育评估标准回顾与思考,施仲谋、田小琳、李黄萍、蔡一聪,应用语言学,2021,第2期,"施仲谋、田小琳、李黄萍、蔡一聪.香港中国语文教育评估标准回顾与思考[J].澳门语言学刊,2021年第2期."
491,女性主义翻译视角下的译者主体性及相关问题,唐仪、李丽青,应用语言学,2021,第2期,"唐仪、李丽青.女性主义翻译视角下的译者主体性及相关问题[J].澳门语言学刊,2021年第2期."
492,时间方位短语语法规则在中葡机器翻译后处理中的应用,卢春晖,应用语言学,2022,第1期,"卢春晖.时间方位短语语法规则在中葡机器翻译后处理中的应用[J].澳门语言学刊,2022年第1期."
493,网络语言研究方法论的梳理与思考,程润峰、谢晓明,应用语言学,2023,第2期,"程润峰、谢晓明.网络语言研究方法论的梳理与思考[J].澳门语言学刊,2023年第2期."
494,香港语言生活的研究方略——《香港语言文字面面观》评介,陆志军,应用语言学,2023,第2期,"陆志军.香港语言生活的研究方略——《香港语言文字面面观》评介[J].澳门语言学刊,2023年第2期."
495,岑麒祥轶事趣闻,岑运泰,其他,1995,总第1期,"岑运泰.岑麒祥轶事趣闻[J].澳门语言学刊,1995年总第1期."
496,无声传意的佼佼者：中国书法艺术片谈,陈颂声,其他,1996,总第2/3期,"陈颂声.无声传意的佼佼者：中国书法艺术片谈[J].澳门语言学刊,1996年总第2/3期."
497,程祥徽语言学研究述略,邓骏捷、邵朝阳,其他,1996,总第8/9期,"邓骏捷、邵朝阳.程祥徽语言学研究述略[J].澳门语言学刊,1996年总第8/9期."
498,怀念我的父亲,岑运华、苑云英,其他,2003,总第22/23期,"岑运华、苑云英.怀念我的父亲[J].澳门语言学刊,2003年总第22/23期."
499,徽音吉祥,沈谦,其他,2003,总第24/25期,"沈谦.徽音吉祥[J].澳门语言学刊,2003年总第24/25期."
500,为《语言学：社会的使命》部分作者赋诗,程祥徽,其他,2003,总第24/25期,"程祥徽.为《语言学：社会的使命》部分作者赋诗[J].澳门语言学刊,2003年总第24/25期."
501,索绪尔学说在中国,滕慧群,其他,2004,总第26期,"滕慧群.索绪尔学说在中国[J].澳门语言学刊,2004年总第26期."
502,索绪尔生平事迹及其学术道路,赵蓉晖,其他,2004,总第27 期,"赵蓉晖.索绪尔生平事迹及其学术道路[J].澳门语言学刊,2004年总第27 期."
503,澳门语言学研究回顾与思考,程祥徽、邵朝阳,其他,2008,总第31/32期,"程祥徽、邵朝阳.澳门语言学研究回顾与思考[J].澳门语言学刊,2008年总第31/32期."
504,忆记张清常先生,刘叔新,其他,2009,第1期,"刘叔新.忆记张清常先生[J].澳门语言学刊,2009年第1期."
505,《岑麒祥先生文选》导读,岑运强,其他,2010,第1期,"岑运强.《岑麒祥先生文选》导读[J].澳门语言学刊,2010年第1期."
506,放眼未来细绎家珍——我读《中华传统文化丛书语言文字》,姚徽,其他,2010,第1期,"姚徽.放眼未来细绎家珍——我读《中华传统文化丛书语言文字》[J].澳门语言学刊,2010年第1期."
507,一位淡泊名利，甘作奉献的著名学者——怀念老友曹聪孙教授,李行健,其他,2010,第1期,"李行健.一位淡泊名利，甘作奉献的著名学者——怀念老友曹聪孙教授[J].澳门语言学刊,2010年第1期."
508,谈谈关于读书的几个问题,于根元,其他,2010,第1期,"于根元.谈谈关于读书的几个问题[J].澳门语言学刊,2010年第1期."
509,周有光先生的多彩人生,郭龙生,其他,2010,第2期,"郭龙生.周有光先生的多彩人生[J].澳门语言学刊,2010年第2期."
510,邢福义“讲实议，求实证”的治学风格,张邱林,其他,2010,第2期,"张邱林.邢福义“讲实议，求实证”的治学风格[J].澳门语言学刊,2010年第2期."
511,关于“以学术引导学术”,于根元,其他,2010,第2期,"于根元.关于“以学术引导学术”[J].澳门语言学刊,2010年第2期."
512,从依山到面海,王宁,其他,2011,第1期,"王宁.从依山到面海[J].澳门语言学刊,2011年第1期."
513,濠江程子两彰宜,陈耀南,其他,2011,第1期,"陈耀南.濠江程子两彰宜[J].澳门语言学刊,2011年第1期."
514,友情和启迪---庆祝程祥徽教授澳门从研从教三十周年,张惠英,其他,2011,第2期,"张惠英.友情和启迪---庆祝程祥徽教授澳门从研从教三十周年[J].澳门语言学刊,2011年第2期."
515,诗与语言的互动：程祥徽教授诗说,黄坤尧,其他,2011,第2期,"黄坤尧.诗与语言的互动：程祥徽教授诗说[J].澳门语言学刊,2011年第2期."
516,耕耘花田人亦香——程祥徽先生与“花儿”,朱刚,其他,2011,第2期,"朱刚.耕耘花田人亦香——程祥徽先生与“花儿”[J].澳门语言学刊,2011年第2期."
517,随祥徽师学习语言学点滴,邓骏捷,其他,2011,第2期,"邓骏捷.随祥徽师学习语言学点滴[J].澳门语言学刊,2011年第2期."
518,理解是纪念的前提——纪念启功先生百年诞辰,王宁,其他,2012,第2期,"王宁.理解是纪念的前提——纪念启功先生百年诞辰[J].澳门语言学刊,2012年第2期."
519,师情似海春波暖,刘梓楠,其他,2012,第2期,"刘梓楠.师情似海春波暖[J].澳门语言学刊,2012年第2期."
520,一个花甲的友情——贺祥徽兄八十革诞,唐作藩,其他,2013,第1期,"唐作藩.一个花甲的友情——贺祥徽兄八十革诞[J].澳门语言学刊,2013年第1期."
521,赵元任先生对现代语言科学的理论与实践探索,赵贤德,其他,2013,第1期,"赵贤德.赵元任先生对现代语言科学的理论与实践探索[J].澳门语言学刊,2013年第1期."
522,特征鲜明的澳门语言研究贺澳门语言学会成立20 周年,丁金国,其他,2014,第1期,"丁金国.特征鲜明的澳门语言研究贺澳门语言学会成立20 周年[J].澳门语言学刊,2014年第1期."
523,语言学大道越走越宽广——澳门语言学会20 年,程祥徽,其他,2014,第2期,"程祥徽.语言学大道越走越宽广——澳门语言学会20 年[J].澳门语言学刊,2014年第2期."
524,“语体领先”与“语码平等”——贺澳门语言学会20 周年庆,王卫兵,其他,2014,第2期,"王卫兵.“语体领先”与“语码平等”——贺澳门语言学会20 周年庆[J].澳门语言学刊,2014年第2期."
525,《漫话“有所不为”》一文对语言事实的关注与尊重,邓天玉,其他,2016,第1期,"邓天玉.《漫话“有所不为”》一文对语言事实的关注与尊重[J].澳门语言学刊,2016年第1期."
526,《“诞辰”古今演化辨察》的传授艺术,邓天玉,其他,2019,第1期,"邓天玉.《“诞辰”古今演化辨察》的传授艺术[J].澳门语言学刊,2019年第1期."
527,程祥徽语言学研究的多重成就——喜读《语海文江踏浪来——程祥徽评传》,白兆麟,其他,2019,第2期,"白兆麟.程祥徽语言学研究的多重成就——喜读《语海文江踏浪来——程祥徽评传》[J].澳门语言学刊,2019年第2期."
528,一部全面了解民国历史文化名人王云五的精品力作——周荐教授新着《王云五评传——多重历史镜像中的文化人》评介,赵贤德,其他,2020,第1期,"赵贤德.一部全面了解民国历史文化名人王云五的精品力作——周荐教授新着《王云五评传——多重历史镜像中的文化人》评介[J].澳门语言学刊,2020年第1期."
529,踏浪人生奔放豪情——读《语海文江踏浪来》的认识,祁嬿蒨,其他,2020,第1期,"祁嬿蒨.踏浪人生奔放豪情——读《语海文江踏浪来》的认识[J].澳门语言学刊,2020年第1期."
530,十字门前真瞩目——程祥徽先生记忆,余颂辉,其他,2020,第2期,"余颂辉.十字门前真瞩目——程祥徽先生记忆[J].澳门语言学刊,2020年第2期."
531,谁最早提出汉语语法有那两个特点？——“汉语缺乏形态、倚重语序和虚词”观点溯源,袁毓林、王恩旭,句法学和语义学,2024,第1期,"袁毓林、王恩旭.谁最早提出汉语语法有那两个特点？——“汉语缺乏形态、倚重语序和虚词”观点溯源[J].澳门语言学刊,2024年第1期."
532,汉语“动+名+动量”结构的韵律及语体制约,崔四行卢乐仪、张咪,句法学和语义学,2024,第1期,"崔四行卢乐仪、张咪.汉语“动+名+动量”结构的韵律及语体制约[J].澳门语言学刊,2024年第1期."
533,NP隐含与“X（的）那种”句式的动态生成,方清明,句法学和语义学,2024, 第1期,"方清明.NP隐含与“X（的）那种”句式的动态生成[J].澳门语言学刊,2024年 第1期."
534,汉语体标记“了”的语体特征及其自由隐现的语体差异,陆方喆、曾君,句法学和语义学,2024,第1期,"陆方喆、曾君.汉语体标记“了”的语体特征及其自由隐现的语体差异[J].澳门语言学刊,2024年第1期."
535,西南官话“跟到”的多功能用法及其演变,田早慧、邵则遂,句法学和语义学,2024,第1期,"田早慧、邵则遂.西南官话“跟到”的多功能用法及其演变[J].澳门语言学刊,2024年第1期."
536,福建漳平溪南方言反身代词的连读变调,陈宝贤,语音学与音系学,2024,第1期,"陈宝贤.福建漳平溪南方言反身代词的连读变调[J].澳门语言学刊,2024年第1期."
537,全球华语研究的回顾与前瞻,刁晏斌,语言接触与语言变异,2024,第1期,"刁晏斌.全球华语研究的回顾与前瞻[J].澳门语言学刊,2024年第1期."
538,论贵州罗甸方言的归属,李华斌,语言接触与语言变异,2024,第1期,"李华斌.论贵州罗甸方言的归属[J].澳门语言学刊,2024年第1期."
539,《段注》说解中假设类科学用语表现出的“理必”思想,王德毅,汉语史,2024,第1期,"王德毅.《段注》说解中假设类科学用语表现出的“理必”思想[J].澳门语言学刊,2024年第1期."
